time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction
861,151.81477251,20,1000.0,47,342016,0.097858936,0.0003,0.3738406300544739,0.2,0.026653100960538724,0.9102316498756409,0.9562923908233643,1660,-3.9006227225065233,2.5676521910354495,0.49052734375
906,154.66070309999998,21,1000.0,47,344064,0.11429505,0.0003,0.2872685492038727,0.2,0.0014182041253661738,0.915783703327179,0.9604793787002563,1670,-3.908830451220274,3.3612259733024983,0.50341796875
949,153.18776511,22,1000.0,47,346112,0.115852416,0.0003,0.0967005118727684,0.2,-0.003939515452657361,0.9184749722480774,0.9628893136978149,1680,-3.9245528928935527,1.8684065088629722,0.462890625
993,149.47704166,23,1000.0,47,348160,0.07181102,0.0003,0.14533481001853943,0.2,-0.008450676337815821,0.9243627190589905,0.9647246599197388,1690,-3.94410525560379,1.3920505926478655,0.402978515625
1037,148.58150437,24,1000.0,47,350208,0.08587977,0.0003,0.1465054154396057,0.2,-0.0006691664311802015,0.9342412352561951,0.960579514503479,1700,-3.970980194956064,0.9794442221987992,0.372802734375
1081,147.41343982,25,1000.0,47,352256,0.074470825,0.0003,0.004091121256351471,0.2,-0.0018069264362566174,0.9461278319358826,0.9605525732040405,1710,-4.004568341374397,1.714911000756547,0.456298828125
1126,150.26811065,26,1000.0,47,354304,0.051609073,0.0003,0.1614972949028015,0.2,0.010692659477354028,0.9494789242744446,0.9326605200767517,1720,-4.027134653925896,3.710604689642787,0.398828125
1170,149.45206828,27,1000.0,47,356352,0.10150164,0.0003,0.4590242803096771,0.2,-0.005550924412091263,0.9478609561920166,0.9140127897262573,1730,-4.035946986079216,4.579042159393429,0.49853515625
1214,148.56353124,28,1000.0,47,358400,0.20124759,0.0003,0.06830322742462158,0.2,-0.00430962975951843,0.9480593800544739,0.954937219619751,1740,-4.0394364386796955,1.9091143948026001,0.439306640625
1258,147.88470127,29,1000.0,47,360448,0.057862878,0.0003,0.6323820352554321,0.2,-0.00430984063714277,0.9448919892311096,0.8866723775863647,1750,-4.034093925356865,4.974696949310601,0.365625
1303,146.68765995999996,30,1000.0,47,362496,0.05327946,0.0003,0.26594752073287964,0.2,0.00019783058305620216,0.9447495341300964,0.9395820498466492,1760,-4.027779318392277,4.1530546362511815,0.3890625
1345,148.83677323,31,1000.0,47,364544,0.0824735,0.0003,0.14505977928638458,0.2,-0.004687401963747106,0.9370020031929016,0.953650951385498,1770,-4.016861996054649,1.6249520361423493,0.361669921875
1387,142.73531591,32,993.69,47,366592,0.054161005,0.0003,0.39926785230636597,0.2,0.004658763128099963,0.9346237182617188,0.9104431867599487,1780,-4.000171642750502,3.413986765965819,0.395361328125
1431,144.4351888,33,993.69,47,368640,1.1665671,0.0003,0.2570914030075073,0.2,-0.018012014378473395,0.9368748664855957,0.8622328042984009,1790,-3.990133064985275,5.7870699627324935,0.3568359375
1474,142.25976086999998,34,993.69,47,370688,0.1179427,0.0003,0.21525859832763672,0.2,0.021241264409036377,0.9422274231910706,0.8963978886604309,1800,-4.001795470714569,3.538237399235368,0.52490234375
1516,140.29913351,35,993.69,47,372736,0.1391465,0.0003,0.2330218404531479,0.2,-0.003631326132745016,0.9341280460357666,0.9468209743499756,1810,-4.004988376796246,2.0694559768773617,0.43603515625
1560,136.62450997999997,36,993.69,47,374784,0.22866732,0.0003,0.03841838613152504,0.2,-0.018025576823856682,0.9252294898033142,0.9390164017677307,1820,-3.993756767362356,0.733645797893405,0.395751953125
1603,135.68738044999998,37,993.69,47,376832,0.1541554,0.0003,0.07179490476846695,0.2,0.004267577864811756,0.9245156645774841,0.9318972826004028,1830,-3.966856699436903,1.518805788597092,0.505078125
1646,133.55032855,38,993.69,47,378880,0.1420174,0.0003,0.18069420754909515,0.2,-0.02112928689821274,0.9205633997917175,0.9499550461769104,1840,-3.9680016331374643,0.9111523320432753,0.409228515625
1689,135.34444411,39,993.69,47,380928,0.054813415,0.0003,0.22320319712162018,0.2,-0.006574132470996119,0.9131135940551758,0.8842898607254028,1850,-3.947772170603275,1.4800989665091038,0.413232421875
1733,132.96779236999998,40,988.75,47,382976,0.1425594,0.0003,0.03377413749694824,0.2,-0.010938662511762232,0.9127863049507141,0.9450492858886719,1860,-3.938975628465414,0.9718288635020145,0.477294921875
1777,135.96233474999997,41,988.75,47,385024,0.6716113,0.0003,0.2719801664352417,0.2,-0.009428854519501328,0.9128188490867615,0.8294618129730225,1870,-3.9357955761253836,5.2470164326485245,0.470458984375
1824,134.60274463,42,988.75,47,387072,0.14215547,0.0003,0.20873060822486877,0.2,0.013166258552519138,0.9075607657432556,0.9407345056533813,1880,-3.934982106089592,2.4962118424475195,0.541357421875
1869,134.74059745,43,988.75,47,389120,0.07301018,0.0003,0.21978887915611267,0.2,0.003375242609763518,0.9123194813728333,0.9431459903717041,1890,-3.9264908067882063,1.5417793822474777,0.43662109375
